1
-,gallus,rat,rabbit,human,duck,gorilla
gallus,-,0.15612226221707035,0.15601041221808717,0.15605108494499015,0.1568543713013239,0.1565798303947288
rat,-,-,0.1581032339731125,0.15879454026966416,0.1584956889078041,0.15819017697584598
rabbit,-,-,-,0.15792708500141073,0.15866513768698476,0.1585408620126439
human,-,-,-,-,0.15823757506974984,0.15803164812359485
duck,-,-,-,-,-,0.15895159585711266
gorilla,-,-,-,-,-,-
2
-,gallus,rat,rabbit,human,duck,gorilla
gallus,-,0.03221279970715637,0.03896447237305025,0.01770280438451996,0.07635287657861022,0.09231692188802798
rat,-,-,0.30298690702231984,0.07789030704061574,0.06677661133966993,0.05957562306642839
rabbit,-,-,-,0.059154027406034815,0.09385886098895037,0.08013153090832228
human,-,-,-,-,0.035643353667186836,0.03172258411636979
duck,-,-,-,-,-,0.723259064968006
gorilla,-,-,-,-,-,-
3
-,gallus,rat,rabbit,human,duck,gorilla
gallus,-,0.150878989588667,0.150878989588667,0.150878989588667,0.150878989588667,0.1644905273937532
rat,-,-,0.22598214482253312,0.1668510476693691,0.15767992496260805,0.15780069590294976
rabbit,-,-,-,0.1607626343147706,0.15767992496260805,0.15780069590294976
human,-,-,-,-,0.15767992496260805,0.15780069590294976
duck,-,-,-,-,-,0.15780069590294976
gorilla,-,-,-,-,-,-
4
-,gallus,rat,rabbit,human,duck,gorilla
gallus,-,0.7765237020316027,0.7527199886116365,0.8127631017021536,0.7252048888617737,0.7604173021780245
rat,-,-,0.6743928198323916,0.6892533015864226,0.8011223026118756,0.7988220825887281
rabbit,-,-,-,0.6620166388336041,0.7840611749499535,0.7789627409158164
human,-,-,-,-,0.7948645197900411,0.7926778885878442
duck,-,-,-,-,-,0.6725682634845602
gorilla,-,-,-,-,-,-
5
-,gallus,rat,rabbit,human,duck,gorilla
gallus,-,0.15682386675614668,0.1563866349419397,0.15656966221300306,0.1568340349378724,0.15715941675309622
rat,-,-,0.15905032065213248,0.15929400038760763,0.15907890796172822,0.158233412117369
rabbit,-,-,-,0.15826413195159333,0.15908481896565313,0.15836792144655176
human,-,-,-,-,0.15930943711479958,0.15825502968813052
duck,-,-,-,-,-,0.15905968371092025
gorilla,-,-,-,-,-,-
6
-,gallus,rat,rabbit,human,duck,gorilla
gallus,-,0.4182884916519228,0.4678787139283753,0.18442031195981534,0.3520936286173306,0.46492994122790965
rat,-,-,0.995000724422178,0.3445051081148426,0.5063503885499914,0.4353371078629615
rabbit,-,-,-,0.371622476913809,0.5287530934253873,0.6094445086371252
human,-,-,-,-,0.8111966236345581,0.3886802626764496
duck,-,-,-,-,-,0.49541423536888324
gorilla,-,-,-,-,-,-
7
-,gallus,rat,rabbit,human,duck,gorilla
gallus,-,0.598031440017896,0.5698554084558599,0.9071339962987819,0.8885668964675737,0.9481829459256096
rat,-,-,0.997779455387032,0.5604684515075168,0.39722931542693213,0.4013302011875252
rabbit,-,-,-,0.4224342110279932,0.3800282940054539,0.37859812455563885
human,-,-,-,-,0.5981285761573746,0.7745263350050922
duck,-,-,-,-,-,0.9520161987663573
gorilla,-,-,-,-,-,-
